localDate,instrument,barValue,barType,daysLoaded,LookbackSetting,LookbackSources,SwingStrength,VolOffSetCheck,VolOffsetRatio
2020061921,NQ 06-20,60,60 Minute,180,7142128,daysAgo,5,True,1.5
CurrentBar,Time,Open,High,Low,Close,TrendPlot,BarsToNextSignal,BarsFromPreviousSignal,SignalPattern,BuySignalStopLine,SellSignalStopLine,DotPrice,OpenPrice
1571,3/30/2020 10:00:00 AM,7806.25,7848.25,7771.5,7847.25,7518.54644602473,1,1,5,0,0,7542.25,7763.75
1572,3/30/2020 11:00:00 AM,7847.5,7847.5,7800,7816.25,7523.97956261937,4,0,2,0,7975.5,7975.5,7847.5
1573,3/30/2020 12:00:00 PM,7815.25,7859.75,7783.75,7837,7528.81047893971,3,1,2,0,7975.5,7975.5,7847.5
1574,3/30/2020 1:00:00 PM,7836.75,7884,7797.75,7868.25,7533.90452061013,2,2,2,0,7975.5,7975.5,7847.5
1575,3/30/2020 2:00:00 PM,7868,7872.5,7829,7853.25,7539.43089217029,1,3,2,0,7975.5,7975.5,7847.5
1576,3/30/2020 4:00:00 PM,7856.75,7885,7842.25,7871.75,7544.61798486169,2,0,5,0,7975.5,7716.75,7856.75
1577,3/30/2020 5:00:00 PM,7871.5,7883,7852,7875.75,7550.02512560778,1,1,5,0,0,7716.75,7856.75
1578,3/30/2020 6:00:00 PM,7875.75,7899,7870,7873.75,7555.40900782914,6,0,2,0,7980,7980,7875.75
1579,3/30/2020 7:00:00 PM,7874.75,7937,7870.5,7907.25,7560.67084241048,5,1,2,0,7980,7980,7875.75
1580,3/30/2020 8:00:00 PM,7908,7925.5,7902.75,7909.75,7566.39942352766,4,2,2,0,7980,7980,7875.75
1581,3/30/2020 9:00:00 PM,7910.5,7912.75,7871.5,7881.25,7572.0746396677,3,3,2,0,7980,7980,7875.75
1582,3/30/2020 10:00:00 PM,7880.5,7880.5,7815,7837.25,7577.18497620212,2,4,2,0,7980,7980,7875.75
1583,3/30/2020 11:00:00 PM,7836.25,7875,7812,7852.5,7581.48357163679,1,5,2,0,7980,7980,7875.75
1584,3/31/2020 12:00:00 AM,7852,7904.5,7822.75,7904,7585.96318202296,5,0,1,0,7980,7727.75,7852
1585,3/31/2020 1:00:00 AM,7903.5,7941.75,7885,7917.75,7591.21998893167,4,1,1,0,0,7727.75,7852
1586,3/31/2020 2:00:00 AM,7917.25,7948.5,7911,7936.75,7596.61717919726,3,2,1,0,0,7727.75,7852
1587,3/31/2020 3:00:00 AM,7937.5,7957,7915.5,7929,7602.23920929318,2,3,1,0,0,7727.75,7852
1588,3/31/2020 4:00:00 AM,7930,7932.75,7864.75,7872.25,7607.64021409825,1,4,1,0,0,7727.75,7852
1589,3/31/2020 5:00:00 AM,7872.75,7877.5,7841.25,7862,7612.0139295677,3,0,2,0,8016.75,8016.75,7872.75
1590,3/31/2020 6:00:00 AM,7862.25,7865.75,7764.25,7806,7616.14593073187,2,1,2,0,8016.75,8016.75,7872.75
1591,3/31/2020 7:00:00 AM,7806.25,7874.75,7797,7823.5,7619.28401452143,1,2,2,0,8016.75,8016.75,7872.75
1592,3/31/2020 8:00:00 AM,7823,7995,7819,7934.5,7622.65948535579,1,0,5,0,8016.75,7703,7823
1593,3/31/2020 9:00:00 AM,7935.75,7969.5,7906.75,7932,7627.81387402759,1,0,2,0,0,8113.25,7935.75
1594,3/31/2020 10:00:00 AM,7931.75,7940,7815.25,7845,7632.84174387838,1,0,5,0,0,7792,7931.75
1595,3/31/2020 11:00:00 AM,7845,7892.5,7811,7884.5,7636.34849191344,2,0,2,0,8065,8065,7845
1596,3/31/2020 12:00:00 PM,7884,7890,7839.75,7858.25,7640.45016973306,1,1,2,0,8065,8065,7845
1597,3/31/2020 1:00:00 PM,7858,7877.75,7747.5,7797,7644.05016692755,3,0,1,0,8065,7722.25,7858
1598,3/31/2020 2:00:00 PM,7797.5,7804,7756.25,7781.75,7646.57826334197,2,1,1,0,0,7722.25,7858
1599,3/31/2020 4:00:00 PM,7772.5,7773.5,7707,7731.75,7648.8125069231,1,2,1,0,0,7722.25,7858
1600,3/31/2020 5:00:00 PM,7731.25,7743.25,7705,7712.5,7650.18337457726,4,0,1,0,0,7587.75,7731.25
